검진기관명,전화번호,주소,위암,간암,대장암,유방암,자궁경부암,폐암
김명주산부인과의원,522-3313,인천광역시 부평구 부평대로 9 (부평동),,,,,O,
부평내과의원,522-7563,인천광역시 부평구 부평대로 9 (부평동),O,O,O,O,,
삼성미즈산부인과의원,516-3838,"인천광역시 부평구 부평대로 93 2,3층 (부평동)",,,,,O,
서울드림내과의원,719-7123,"인천광역시 부평구 부흥로 264 (부평동, 동아웰빙타운)",O,O,O,,,
서울든든내과의원,710-8778,인천광역시 부평구 부평대로 83 강남타워 6층 (부평동),O,O,O,O,O,
선이산부인과의원,5057-6323,"인천광역시 부평구 광장로 16 6층 (부평동, 부평역사쇼핑몰)",,,,,O,
성모산부인과의원,502-1001,인천광역시 부평구 부평대로 47 (부평동),,,,,O,
연세내과의원,515-3009,인천광역시 부평구 부흥로 245 (부평동),O,O,O,O,O,
연세베스트항외과의원,521-5211,"인천광역시 부평구 부평대로 9 505호 (부평동, 문화드림빌)",,,O,,,
인천성모내과의원,1855-1875,인천광역시 부평구 부평문화로 55,,,,,,
찬누리한방병원,511-1001,인천광역시 부평구 원적로 469 성훈빌딩 1층 찬누리한방병원,,,,,,
전형식내과의원,504-7575,"인천광역시 부평구 부평문화로 38 202호 (부평동, 부평동대학빌딩)",O,O,O,,,
성모하와유외과의원,262-7475,인천광역시 부평구 부평문화로 55 11층,,,,O,,
제일외과의원,519-2314,인천광역시 부평구 부평대로 11 3층 일부호 (부평동),O,,O,,,
참조은내과의원,525-7582,"인천광역시 부평구 경인로 883 2층 (부평동, 재현빌딩)",O,O,,,,
호내과의원,526-1728,인천광역시 부평구 경원대로 1270 2층 201호 (부평동),O,O,O,O,O,
부평연세내과의원,529-1256,인천광역시 부평구 경원대로 1266 2층 (부평동),O,O,,,,
나은내과의원,529-7588,"인천광역시 부평구 길주남로10번길 21 202, 203, 204(일부), 205, 206호 (부평동, 래미안부평)",O,O,O,,,
부평구보건소,509-8200,인천광역시 부평구 부흥로 291,,,,,,
부평프라임메디컬의원,556-0575,"인천광역시 부평구 대정로 28 2~5, 7층 각호 (부평동) ",O,O,O,O,O,
로로와내과의원,521-2022,"인천광역시 부평구 부평문화로 87 401~404, 501~508호 (부평동)",O,O,O,O,O,
자애내과의원,529-1002,인천광역시 부평구 부평대로 90 여산빌딩 A동 602호 (부평동),O,O,O,,,
노내과의원,523-5244,인천광역시 부평구 부평문화로 100-1 (부평동),O,O,O,,,
박상현내과의원,507-0225,"인천광역시 부평구 부흥로365번길 3 301호 (부평동, 유니온프라자)",O,O,O,O,O,
성모내과의원,526-7200,"인천광역시 부평구 부평대로 24 203호 (부평동, 가나베스트텔)",O,O,,,,
애플산부인과의원,330-8870,"인천광역시 부평구 부평대로 6 8층 (부평동, 대신스카이프라자)",,,,,O,
안정경내과의원,514-9086,"인천광역시 부평구 부평대로 24 4,5층 (부평동)",O,O,O,,,
인천어바웃유외과의원,362-1717,"인천광역시 부평구 경원대로 1415 304호 (부평동, 파라움)",,,,O,,
부평하루여성외과의원,511-6875,"인천광역시 부평구 광장로 4 6층 (부평동, 코아빌딩)",,,,O,,
필산부인과의원,528-0878,인천광역시 부평구 부평대로 24 (부평동),,,,,O,
부평힘찬병원,363-9214,인천광역시 부평구 장제로 78 (부평동),O,O,O,O,O,
부평탑내과의원,508-7588,인천광역시 부평구 시장로 48 2층 203호,O,O,O,O,O,
서울봄산부인과의원,721-6624,인천광역시 부평구 경원대로 1397 4층,,,,,O,
나누리병원,280-1102,인천광역시 부평구 장제로 156 (부평동),O,O,O,O,O,
인천성모병원,280-6114,인천광역시 부평구 동수로 56 (부평동) ,O,O,O,O,O,O
동수녹십자의원,525-7531,"인천광역시 부평구 장제로 27 201호 (부평동, 해마루)",O,O,O,O,O,
부평봄내과의원,514-8275,"인천광역시 부평구 경인로 947 402호, 403호 (부평동)",O,O,O,O,O,
부평열린내과의원,501-0036,"인천광역시 부평구 동수북로158번길 3 201,301호 (부평동, 원명빌딩)",O,O,O,O,O,
부평바른내과의원,299-7575,"인천광역시 부평구 길주로364번길 9 2층 217~221호 (산곡동, 부평 IPARK)",O,O,O,O,O,
88하내과의원,226-8888,"인천광역시 부평구 마장로 320 한화프라자 4층 406, 407호",O,O,O,,,
부평정진의원,506-5010,"인천광역시 부평구 마장로 383 정진빌딩 2, 3층 (산곡동) ",O,O,O,,,
이수금내과의원,268-7575,"인천광역시 부평구 원적로 290 3층 (산곡동, 산곡메디칼센타)",O,O,,,,
